日付,製品コード,製品,販売数,単価,売上金額,曜日,月,年
2022-01-19,P003,製品C,165,2000,330000,水,1,2022
2022-01-19,P004,製品D,175,2500,437500,水,1,2022
2022-01-19,P005,製品E,224,3000,672000,水,1,2022
2022-01-20,P001,製品A,68,1000,68000,木,1,2022
2022-01-20,P002,製品B,107,1500,160500,木,1,2022
2022-01-20,P003,製品C,132,2000,264000,木,1,2022
2022-01-20,P004,製品D,178,2500,445000,木,1,2022
2022-01-20,P005,製品E,245,3000,735000,木,1,2022
2022-01-21,P001,製品A,69,1000,69000,金,1,2022
2022-01-21,P002,製品B,115,1500,172500,金,1,2022
2022-01-21,P003,製品C,142,2000,284000,金,1,2022
2022-01-21,P004,製品D,178,2500,445000,金,1,2022
2022-01-21,P005,製品E,210,3000,630000,金,1,2022
2022-01-22,P001,製品A,55,1000,55000,土,1,2022
2022-01-22,P002,製品B,77,1500,115500,土,1,2022
2022-01-22,P003,製品C,96,2000,192000,土,1,2022
2022-01-22,P004,製品D,122,2500,305000,土,1,2022
2022-01-22,P005,製品E,160,3000,480000,土,1,2022
2022-01-23,P001,製品A,34,1000,34000,日,1,2022
2022-01-23,P002,製品B,62,1500,93000,日,1,2022
2022-01-23,P003,製品C,68,2000,136000,日,1,2022
2022-01-23,P004,製品D,90,2500,225000,日,1,2022
2022-01-23,P005,製品E,109,3000,327000,日,1,2022
2022-01-24,P001,製品A,84,1000,84000,月,1,2022
2022-01-24,P002,製品B,103,1500,154500,月,1,2022
2022-01-24,P003,製品C,158,2000,316000,月,1,2022
2022-01-24,P004,製品D,193,2500,482500,月,1,2022
2022-01-24,P005,製品E,209,3000,627000,月,1,2022
2022-01-25,P001,製品A,75,1000,75000,火,1,2022
2022-01-25,P002,製品B,109,1500,163500,火,1,2022
2022-01-25,P003,製品C,130,2000,260000,火,1,2022
2022-01-25,P004,製品D,184,2500,460000,火,1,2022
2022-01-25,P005,製品E,224,3000,672000,火,1,2022
2022-01-26,P001,製品A,79,1000,79000,水,1,2022
2022-01-26,P002,製品B,96,1500,144000,水,1,2022
2022-01-26,P003,製品C,169,2000,338000,水,1,2022
2022-01-26,P004,製品D,193,2500,482500,水,1,2022
2022-01-26,P005,製品E,197,3000,591000,水,1,2022
2022-01-27,P001,製品A,71,1000,71000,木,1,2022
2022-01-27,P002,製品B,128,1500,192000,木,1,2022
2022-01-27,P003,製品C,168,2000,336000,木,1,2022
2022-01-27,P004,製品D,194,2500,485000,木,1,2022
2022-01-27,P005,製品E,239,3000,717000,木,1,2022
2022-01-28,P001,製品A,65,1000,65000,金,1,2022
2022-01-28,P002,製品B,112,1500,168000,金,1,2022
2022-01-28,P003,製品C,131,2000,262000,金,1,2022
2022-01-28,P004,製品D,196,2500,490000,金,1,2022
2022-01-28,P005,製品E,196,3000,588000,金,1,2022
2022-01-29,P001,製品A,50,1000,50000,土,1,2022
2022-01-29,P002,製品B,74,1500,111000,土,1,2022
2022-01-29,P003,製品C,108,2000,216000,土,1,2022
2022-01-29,P004,製品D,121,2500,302500,土,1,2022
2022-01-29,P005,製品E,141,3000,423000,土,1,2022
2022-01-30,P001,製品A,34,1000,34000,日,1,2022
2022-01-30,P002,製品B,52,1500,78000,日,1,2022
2022-01-30,P003,製品C,78,2000,156000,日,1,2022
2022-01-30,P004,製品D,86,2500,215000,日,1,2022
2022-01-30,P005,製品E,120,3000,360000,日,1,2022
2022-01-31,P001,製品A,68,1000,68000,月,1,2022
2022-01-31,P002,製品B,112,1500,168000,月,1,2022
2022-01-31,P003,製品C,157,2000,314000,月,1,2022
2022-01-31,P004,製品D,177,2500,442500,月,1,2022
2022-01-31,P005,製品E,252,3000,756000,月,1,2022
2022-02-01,P001,製品A,77,1000,77000,火,2,2022
2022-02-01,P002,製品B,124,1500,186000,火,2,2022
2022-02-01,P003,製品C,186,2000,372000,火,2,2022
2022-02-01,P004,製品D,184,2500,460000,火,2,2022
2022-02-01,P005,製品E,247,3000,741000,火,2,2022
2022-02-02,P001,製品A,77,1000,77000,水,2,2022
2022-02-02,P002,製品B,133,1500,199500,水,2,2022
2022-02-02,P003,製品C,147,2000,294000,水,2,2022
2022-02-02,P004,製品D,204,2500,510000,水,2,2022
2022-02-02,P005,製品E,254,3000,762000,水,2,2022
2022-02-03,P001,製品A,93,1000,93000,木,2,2022
2022-02-03,P002,製品B,115,1500,172500,木,2,2022
2022-02-03,P003,製品C,185,2000,370000,木,2,2022
2022-02-03,P004,製品D,216,2500,540000,木,2,2022
2022-02-03,P005,製品E,244,3000,732000,木,2,2022
2022-02-04,P001,製品A,73,1000,73000,金,2,2022
2022-02-04,P002,製品B,112,1500,168000,金,2,2022
2022-02-04,P003,製品C,168,2000,336000,金,2,2022
2022-02-04,P004,製品D,188,2500,470000,金,2,2022
2022-02-04,P005,製品E,226,3000,678000,金,2,2022
2022-02-05,P001,製品A,59,1000,59000,土,2,2022
2022-02-05,P002,製品B,77,1500,115500,土,2,2022
2022-02-05,P003,製品C,130,2000,260000,土,2,2022
2022-02-05,P004,製品D,171,2500,427500,土,2,2022
2022-02-05,P005,製品E,155,3000,465000,土,2,2022
2022-02-06,P001,製品A,37,1000,37000,日,2,2022
2022-02-06,P002,製品B,69,1500,103500,日,2,2022
2022-02-06,P003,製品C,86,2000,172000,日,2,2022
2022-02-06,P004,製品D,108,2500,270000,日,2,2022
2022-02-06,P005,製品E,125,3000,375000,日,2,2022
2022-02-07,P001,製品A,92,1000,92000,月,2,2022
2022-02-07,P002,製品B,129,1500,193500,月,2,2022
2022-02-07,P003,製品C,158,2000,316000,月,2,2022
2022-02-07,P004,製品D,241,2500,602500,月,2,2022
2022-02-07,P005,製品E,258,3000,774000,月,2,2022
2022-02-08,P001,製品A,87,1000,87000,火,2,2022
2022-02-08,P002,製品B,125,1500,187500,火,2,2022
2022-02-08,P003,製品C,170,2000,340000,火,2,2022
2022-02-08,P004,製品D,225,2500,562500,火,2,2022
2022-02-08,P005,製品E,267,3000,801000,火,2,2022
2022-02-09,P001,製品A,86,1000,86000,水,2,2022
2022-02-09,P002,製品B,126,1500,189000,水,2,2022
2022-02-09,P003,製品C,176,2000,352000,水,2,2022
2022-02-09,P004,製品D,244,2500,610000,水,2,2022
2022-02-09,P005,製品E,265,3000,795000,水,2,2022
2022-02-10,P001,製品A,89,1000,89000,木,2,2022
2022-02-10,P002,製品B,141,1500,211500,木,2,2022
2022-02-10,P003,製品C,193,2000,386000,木,2,2022
2022-02-10,P004,製品D,211,2500,527500,木,2,2022
2022-02-10,P005,製品E,264,3000,792000,木,2,2022
2022-02-11,P001,製品A,85,1000,85000,金,2,2022
2022-02-11,P002,製品B,119,1500,178500,金,2,2022
2022-02-11,P003,製品C,191,2000,382000,金,2,2022
2022-02-11,P004,製品D,193,2500,482500,金,2,2022
2022-02-11,P005,製品E,231,3000,693000,金,2,2022
2022-02-12,P001,製品A,51,1000,51000,土,2,2022
2022-02-12,P002,製品B,87,1500,130500,土,2,2022
2022-02-12,P003,製品C,121,2000,242000,土,2,2022
2022-02-12,P004,製品D,157,2500,392500,土,2,2022
2022-02-12,P005,製品E,154,3000,462000,土,2,2022
2022-02-13,P001,製品A,46,1000,46000,日,2,2022
2022-02-13,P002,製品B,71,1500,106500,日,2,2022
2022-02-13,P003,製品C,90,2000,180000,日,2,2022
2022-02-13,P004,製品D,97,2500,242500,日,2,2022
2022-02-13,P005,製品E,140,3000,420000,日,2,2022
2022-02-14,P001,製品A,95,1000,95000,月,2,2022
2022-02-14,P002,製品B,115,1500,172500,月,2,2022
2022-02-14,P003,製品C,151,2000,302000,月,2,2022
2022-02-14,P004,製品D,213,2500,532500,月,2,2022
2022-02-14,P005,製品E,278,3000,834000,月,2,2022
2022-02-15,P001,製品A,83,1000,83000,火,2,2022
2022-02-15,P002,製品B,124,1500,186000,火,2,2022
2022-02-15,P003,製品C,171,2000,342000,火,2,2022
2022-02-15,P004,製品D,225,2500,562500,火,2,2022
2022-02-15,P005,製品E,235,3000,705000,火,2,2022
2022-02-16,P001,製品A,94,1000,94000,水,2,2022
2022-02-16,P002,製品B,146,1500,219000,水,2,2022
2022-02-16,P003,製品C,146,2000,292000,水,2,2022
2022-02-16,P004,製品D,244,2500,610000,水,2,2022
2022-02-16,P005,製品E,271,3000,813000,水,2,2022
2022-02-17,P001,製品A,74,1000,74000,木,2,2022
2022-02-17,P002,製品B,141,1500,211500,木,2,2022
2022-02-17,P003,製品C,162,2000,324000,木,2,2022
2022-02-17,P004,製品D,192,2500,480000,木,2,2022
2022-02-17,P005,製品E,283,3000,849000,木,2,2022
2022-02-18,P001,製品A,80,1000,80000,金,2,2022
2022-02-18,P002,製品B,116,1500,174000,金,2,2022
2022-02-18,P003,製品C,194,2000,388000,金,2,2022
2022-02-18,P004,製品D,228,2500,570000,金,2,2022
2022-02-18,P005,製品E,272,3000,816000,金,2,2022
2022-02-19,P001,製品A,67,1000,67000,土,2,2022
2022-02-19,P002,製品B,88,1500,132000,土,2,2022
2022-02-19,P003,製品C,132,2000,264000,土,2,2022
2022-02-19,P004,製品D,136,2500,340000,土,2,2022
2022-02-19,P005,製品E,201,3000,603000,土,2,2022
2022-02-20,P001,製品A,37,1000,37000,日,2,2022
2022-02-20,P002,製品B,67,1500,100500,日,2,2022
2022-02-20,P003,製品C,83,2000,166000,日,2,2022
2022-02-20,P004,製品D,123,2500,307500,日,2,2022
2022-02-20,P005,製品E,134,3000,402000,日,2,2022
2022-02-21,P001,製品A,95,1000,95000,月,2,2022
2022-02-21,P002,製品B,134,1500,201000,月,2,2022
2022-02-21,P003,製品C,194,2000,388000,月,2,2022
2022-02-21,P004,製品D,238,2500,595000,月,2,2022
2022-02-21,P005,製品E,230,3000,690000,月,2,2022
2022-02-22,P001,製品A,91,1000,91000,火,2,2022
2022-02-22,P002,製品B,145,1500,217500,火,2,2022
2022-02-22,P003,製品C,146,2000,292000,火,2,2022
2022-02-22,P004,製品D,196,2500,490000,火,2,2022
2022-02-22,P005,製品E,288,3000,864000,火,2,2022
2022-02-23,P001,製品A,74,1000,74000,水,2,2022
2022-02-23,P002,製品B,146,1500,219000,水,2,2022
2022-02-23,P003,製品C,181,2000,362000,水,2,2022
2022-02-23,P004,製品D,207,2500,517500,水,2,2022
2022-02-23,P005,製品E,289,3000,867000,水,2,2022
2022-02-24,P001,製品A,98,1000,98000,木,2,2022
2022-02-24,P002,製品B,147,1500,220500,木,2,2022
2022-02-24,P003,製品C,177,2000,354000,木,2,2022
2022-02-24,P004,製品D,220,2500,550000,木,2,2022
2022-02-24,P005,製品E,228,3000,684000,木,2,2022
2022-02-25,P001,製品A,73,1000,73000,金,2,2022
2022-02-25,P002,製品B,109,1500,163500,金,2,2022
2022-02-25,P003,製品C,159,2000,318000,金,2,2022
2022-02-25,P004,製品D,240,2500,600000,金,2,2022
2022-02-25,P005,製品E,282,3000,846000,金,2,2022
2022-02-26,P001,製品A,65,1000,65000,土,2,2022
2022-02-26,P002,製品B,102,1500,153000,土,2,2022
2022-02-26,P003,製品C,120,2000,240000,土,2,2022
2022-02-26,P004,製品D,145,2500,362500,土,2,2022
2022-02-26,P005,製品E,176,3000,528000,土,2,2022
2022-02-27,P001,製品A,38,1000,38000,日,2,2022
2022-02-27,P002,製品B,72,1500,108000,日,2,2022
2022-02-27,P003,製品C,83,2000,166000,日,2,2022
2022-02-27,P004,製品D,122,2500,305000,日,2,2022
2022-02-27,P005,製品E,125,3000,375000,日,2,2022
2022-02-28,P001,製品A,80,1000,80000,月,2,2022
2022-02-28,P002,製品B,130,1500,195000,月,2,2022
2022-02-28,P003,製品C,163,2000,326000,月,2,2022
2022-02-28,P004,製品D,236,2500,590000,月,2,2022
2022-02-28,P005,製品E,234,3000,702000,月,2,2022
2022-03-01,P001,製品A,115,1000,115000,火,3,2022
2022-03-01,P002,製品B,146,1500,219000,火,3,2022
2022-03-01,P003,製品C,190,2000,380000,火,3,2022
2022-03-01,P004,製品D,228,2500,570000,火,3,2022
2022-03-01,P005,製品E,310,3000,930000,火,3,2022
2022-03-02,P001,製品A,114,1000,114000,水,3,2022
2022-03-02,P002,製品B,143,1500,214500,水,3,2022
2022-03-02,P003,製品C,199,2000,398000,水,3,2022
2022-03-02,P004,製品D,270,2500,675000,水,3,2022
2022-03-02,P005,製品E,300,3000,900000,水,3,2022
2022-03-03,P001,製品A,100,1000,100000,木,3,2022
2022-03-03,P002,製品B,163,1500,244500,木,3,2022
2022-03-03,P003,製品C,181,2000,362000,木,3,2022
2022-03-03,P004,製品D,241,2500,602500,木,3,2022
2022-03-03,P005,製品E,315,3000,945000,木,3,2022
2022-03-04,P001,製品A,108,1000,108000,金,3,2022
2022-03-04,P002,製品B,153,1500,229500,金,3,2022
2022-03-04,P003,製品C,212,2000,424000,金,3,2022
2022-03-04,P004,製品D,226,2500,565000,金,3,2022
2022-03-04,P005,製品E,263,3000,789000,金,3,2022
2022-03-05,P001,製品A,64,1000,64000,土,3,2022
2022-03-05,P002,製品B,101,1500,151500,土,3,2022
2022-03-05,P003,製品C,138,2000,276000,土,3,2022
2022-03-05,P004,製品D,198,2500,495000,土,3,2022
2022-03-05,P005,製品E,202,3000,606000,土,3,2022
2022-03-06,P001,製品A,53,1000,53000,日,3,2022
2022-03-06,P002,製品B,65,1500,97500,日,3,2022
2022-03-06,P003,製品C,110,2000,220000,日,3,2022
2022-03-06,P004,製品D,121,2500,302500,日,3,2022
2022-03-06,P005,製品E,150,3000,450000,日,3,2022
2022-03-07,P001,製品A,107,1000,107000,月,3,2022
2022-03-07,P002,製品B,139,1500,208500,月,3,2022
2022-03-07,P003,製品C,182,2000,364000,月,3,2022
2022-03-07,P004,製品D,283,2500,707500,月,3,2022
2022-03-07,P005,製品E,294,3000,882000,月,3,2022
2022-03-08,P001,製品A,96,1000,96000,火,3,2022
2022-03-08,P002,製品B,143,1500,214500,火,3,2022
2022-03-08,P003,製品C,207,2000,414000,火,3,2022
2022-03-08,P004,製品D,234,2500,585000,火,3,2022
2022-03-08,P005,製品E,287,3000,861000,火,3,2022
2022-03-09,P001,製品A,111,1000,111000,水,3,2022
2022-03-09,P002,製品B,149,1500,223500,水,3,2022
2022-03-09,P003,製品C,230,2000,460000,水,3,2022
2022-03-09,P004,製品D,229,2500,572500,水,3,2022
2022-03-09,P005,製品E,334,3000,1002000,水,3,2022
2022-03-10,P001,製品A,98,1000,98000,木,3,2022
2022-03-10,P002,製品B,134,1500,201000,木,3,2022
2022-03-10,P003,製品C,184,2000,368000,木,3,2022
2022-03-10,P004,製品D,289,2500,722500,木,3,2022
2022-03-10,P005,製品E,283,3000,849000,木,3,2022
2022-03-11,P001,製品A,102,1000,102000,金,3,2022
2022-03-11,P002,製品B,155,1500,232500,金,3,2022
2022-03-11,P003,製品C,228,2000,456000,金,3,2022
2022-03-11,P004,製品D,284,2500,710000,金,3,2022
2022-03-11,P005,製品E,280,3000,840000,金,3,2022
2022-03-12,P001,製品A,78,1000,78000,土,3,2022
2022-03-12,P002,製品B,93,1500,139500,土,3,2022
2022-03-12,P003,製品C,162,2000,324000,土,3,2022
2022-03-12,P004,製品D,165,2500,412500,土,3,2022
2022-03-12,P005,製品E,218,3000,654000,土,3,2022
2022-03-13,P001,製品A,52,1000,52000,日,3,2022
2022-03-13,P002,製品B,74,1500,111000,日,3,2022
2022-03-13,P003,製品C,92,2000,184000,日,3,2022
2022-03-13,P004,製品D,142,2500,355000,日,3,2022
2022-03-13,P005,製品E,134,3000,402000,日,3,2022
2022-03-14,P001,製品A,111,1000,111000,月,3,2022
2022-03-14,P002,製品B,145,1500,217500,月,3,2022
2022-03-14,P003,製品C,183,2000,366000,月,3,2022
2022-03-14,P004,製品D,231,2500,577500,月,3,2022
2022-03-14,P005,製品E,306,3000,918000,月,3,2022
2022-03-15,P001,製品A,89,1000,89000,火,3,2022
2022-03-15,P002,製品B,152,1500,228000,火,3,2022
2022-03-15,P003,製品C,198,2000,396000,火,3,2022
2022-03-15,P004,製品D,280,2500,700000,火,3,2022
2022-03-15,P005,製品E,307,3000,921000,火,3,2022
2022-03-16,P001,製品A,88,1000,88000,水,3,2022
2022-03-16,P002,製品B,172,1500,258000,水,3,2022
2022-03-16,P003,製品C,183,2000,366000,水,3,2022
2022-03-16,P004,製品D,261,2500,652500,水,3,2022
2022-03-16,P005,製品E,293,3000,879000,水,3,2022
2022-03-17,P001,製品A,110,1000,110000,木,3,2022
2022-03-17,P002,製品B,149,1500,223500,木,3,2022
2022-03-17,P003,製品C,217,2000,434000,木,3,2022
2022-03-17,P004,製品D,233,2500,582500,木,3,2022
2022-03-17,P005,製品E,284,3000,852000,木,3,2022
2022-03-18,P001,製品A,102,1000,102000,金,3,2022
2022-03-18,P002,製品B,154,1500,231000,金,3,2022
2022-03-18,P003,製品C,212,2000,424000,金,3,2022
2022-03-18,P004,製品D,259,2500,647500,金,3,2022
2022-03-18,P005,製品E,346,3000,1038000,金,3,2022
2022-03-19,P001,製品A,80,1000,80000,土,3,2022
2022-03-19,P002,製品B,119,1500,178500,土,3,2022
2022-03-19,P003,製品C,129,2000,258000,土,3,2022
2022-03-19,P004,製品D,202,2500,505000,土,3,2022
2022-03-19,P005,製品E,233,3000,699000,土,3,2022
2022-03-20,P001,製品A,45,1000,45000,日,3,2022
2022-03-20,P002,製品B,76,1500,114000,日,3,2022
2022-03-20,P003,製品C,94,2000,188000,日,3,2022
2022-03-20,P004,製品D,139,2500,347500,日,3,2022
2022-03-20,P005,製品E,134,3000,402000,日,3,2022
2022-03-21,P001,製品A,89,1000,89000,月,3,2022
2022-03-21,P002,製品B,145,1500,217500,月,3,2022
2022-03-21,P003,製品C,214,2000,428000,月,3,2022
2022-03-21,P004,製品D,237,2500,592500,月,3,2022
2022-03-21,P005,製品E,319,3000,957000,月,3,2022
2022-03-22,P001,製品A,109,1000,109000,火,3,2022
2022-03-22,P002,製品B,164,1500,246000,火,3,2022
2022-03-22,P003,製品C,205,2000,410000,火,3,2022
2022-03-22,P004,製品D,229,2500,572500,火,3,2022
2022-03-22,P005,製品E,317,3000,951000,火,3,2022
2022-03-23,P001,製品A,113,1000,113000,水,3,2022
2022-03-23,P002,製品B,170,1500,255000,水,3,2022
2022-03-23,P003,製品C,192,2000,384000,水,3,2022
2022-03-23,P004,製品D,287,2500,717500,水,3,2022
2022-03-23,P005,製品E,311,3000,933000,水,3,2022
2022-03-24,P001,製品A,87,1000,87000,木,3,2022
2022-03-24,P002,製品B,174,1500,261000,木,3,2022
2022-03-24,P003,製品C,218,2000,436000,木,3,2022
2022-03-24,P004,製品D,263,2500,657500,木,3,2022
2022-03-24,P005,製品E,296,3000,888000,木,3,2022
2022-03-25,P001,製品A,96,1000,96000,金,3,2022
2022-03-25,P002,製品B,136,1500,204000,金,3,2022
2022-03-25,P003,製品C,196,2000,392000,金,3,2022
2022-03-25,P004,製品D,279,2500,697500,金,3,2022
2022-03-25,P005,製品E,265,3000,795000,金,3,2022
2022-03-26,P001,製品A,76,1000,76000,土,3,2022
2022-03-26,P002,製品B,90,1500,135000,土,3,2022
2022-03-26,P003,製品C,162,2000,324000,土,3,2022
2022-03-26,P004,製品D,173,2500,432500,土,3,2022
2022-03-26,P005,製品E,198,3000,594000,土,3,2022
2022-03-27,P001,製品A,44,1000,44000,日,3,2022
2022-03-27,P002,製品B,78,1500,117000,日,3,2022
2022-03-27,P003,製品C,95,2000,190000,日,3,2022
2022-03-27,P004,製品D,145,2500,362500,日,3,2022
2022-03-27,P005,製品E,137,3000,411000,日,3,2022
2022-03-28,P001,製品A,91,1000,91000,月,3,2022
2022-03-28,P002,製品B,161,1500,241500,月,3,2022
2022-03-28,P003,製品C,179,2000,358000,月,3,2022
2022-03-28,P004,製品D,229,2500,572500,月,3,2022
2022-03-28,P005,製品E,307,3000,921000,月,3,2022
2022-03-29,P001,製品A,113,1000,113000,火,3,2022
2022-03-29,P002,製品B,174,1500,261000,火,3,2022
2022-03-29,P003,製品C,209,2000,418000,火,3,2022
2022-03-29,P004,製品D,284,2500,710000,火,3,2022
2022-03-29,P005,製品E,342,3000,1026000,火,3,2022
2022-03-30,P001,製品A,98,1000,98000,水,3,2022
2022-03-30,P002,製品B,169,1500,253500,水,3,2022
2022-03-30,P003,製品C,193,2000,386000,水,3,2022
2022-03-30,P004,製品D,222,2500,555000,水,3,2022
2022-03-30,P005,製品E,264,3000,792000,水,3,2022
2022-03-31,P001,製品A,97,1000,97000,木,3,2022
2022-03-31,P002,製品B,164,1500,246000,木,3,2022
2022-03-31,P003,製品C,181,2000,362000,木,3,2022
2022-03-31,P004,製品D,219,2500,547500,木,3,2022
2022-03-31,P005,製品E,324,3000,972000,木,3,2022
2022-04-01,P001,製品A,102,1000,102000,金,4,2022
2022-04-01,P002,製品B,198,1500,297000,金,4,2022
2022-04-01,P003,製品C,243,2000,486000,金,4,2022
2022-04-01,P004,製品D,334,2500,835000,金,4,2022
2022-04-01,P005,製品E,396,3000,1188000,金,4,2022
2022-04-02,P001,製品A,82,1000,82000,土,4,2022
2022-04-02,P002,製品B,137,1500,205500,土,4,2022
2022-04-02,P003,製品C,139,2000,278000,土,4,2022
2022-04-02,P004,製品D,221,2500,552500,土,4,2022
2022-04-02,P005,製品E,278,3000,834000,土,4,2022
2022-04-03,P001,製品A,59,1000,59000,日,4,2022
2022-04-03,P002,製品B,75,1500,112500,日,4,2022
2022-04-03,P003,製品C,99,2000,198000,日,4,2022
2022-04-03,P004,製品D,150,2500,375000,日,4,2022
2022-04-03,P005,製品E,166,3000,498000,日,4,2022
2022-04-04,P001,製品A,124,1000,124000,月,4,2022
2022-04-04,P002,製品B,165,1500,247500,月,4,2022
2022-04-04,P003,製品C,218,2000,436000,月,4,2022
2022-04-04,P004,製品D,252,2500,630000,月,4,2022
2022-04-04,P005,製品E,338,3000,1014000,月,4,2022
2022-04-05,P001,製品A,128,1000,128000,火,4,2022
2022-04-05,P002,製品B,152,1500,228000,火,4,2022
2022-04-05,P003,製品C,224,2000,448000,火,4,2022
2022-04-05,P004,製品D,303,2500,757500,火,4,2022
2022-04-05,P005,製品E,347,3000,1041000,火,4,2022
2022-04-06,P001,製品A,116,1000,116000,水,4,2022
2022-04-06,P002,製品B,158,1500,237000,水,4,2022
2022-04-06,P003,製品C,265,2000,530000,水,4,2022
2022-04-06,P004,製品D,287,2500,717500,水,4,2022
2022-04-06,P005,製品E,361,3000,1083000,水,4,2022
